Location,MatchedCity,CityFromAU,State,Latitude,Longitude,Population,PopulationProper,MatchStatus,Records,AvgRainfall,TotalRainfall,RainyDays,HeavyRainDays,RainyDayRate,HeavyRainRate,RainTomorrowRate,AvgMinTemp,AvgMaxTemp,AvgHumidity3pm,AvgPressure3pm,AvgWindGustSpeed
Penrith,Penrith,Penrith,New South Wales,-33.75,150.69,13295.0,13295.0,Matched,3039,2.18,6447.6,1133,197,37.28,6.48,20.07,12.58,24.76,49.1,,31.81
Perth,Perth,Perth,Western Australia,-31.95,115.86,2059484.0,2039200.0,Matched,3193,1.91,6086.8,900,205,28.19,6.42,20.2,12.92,25.03,46.91,1015.42,34.88
PerthAirport,Perth,Perth,Western Australia,-31.95,115.86,2059484.0,2039200.0,Matched,3009,1.76,5300.8,774,187,25.72,6.21,18.84,12.58,25.53,41.92,1015.37,44.2
Portland,Portland,Portland,Victoria,-38.33,141.6,10900.0,9712.0,Matched,3009,2.53,7581.0,1830,217,60.82,7.21,36.55,9.59,18.06,65.99,1016.62,42.06
Richmond,Richmond,Richmond,New South Wales,-33.6,150.75,5482.0,5482.0,Matched,3009,2.14,6310.6,1040,191,34.56,6.35,18.98,11.36,24.46,49.0,1015.64,34.87
Sale,Sale,Sale,Victoria,-38.1,147.07,15135.0,13673.0,Matched,3009,1.51,4530.5,1306,121,43.4,4.02,21.43,8.57,20.28,56.35,1015.89,42.48
SalmonGums,SalmonGums,,,,,,,Needs review,3001,1.03,3056.6,922,79,30.72,2.63,15.97,9.31,24.25,40.75,,39.75
Sydney,Sydney,Sydney,New South Wales,-33.86,151.21,5312163.0,4840600.0,Matched,3344,3.32,11094.0,1311,319,39.2,9.54,25.92,14.87,23.0,54.69,1016.02,41.76
SydneyAirport,Sydney,Sydney,New South Wales,-33.86,151.21,5312163.0,4840600.0,Matched,3009,3.01,9044.8,1081,257,35.93,8.54,25.76,14.9,23.38,53.9,1015.97,47.23
Townsville,Townsville,Townsville,Queensland,-19.26,146.82,180820.0,178649.0,Matched,3040,3.49,10571.8,801,216,26.35,7.11,17.11,20.42,29.37,57.4,1011.91,38.84
Tuggeranong,Canberra,Canberra,Australian Capital Territory,-35.29,149.13,426704.0,381488.0,Matched,3039,2.16,6487.8,849,203,27.94,6.68,18.95,7.24,20.77,47.19,1015.66,35.22
Uluru,Yulara,Yulara,Northern Territory,-25.24,130.99,1099.0,1099.0,Matched,1578,0.78,1193.8,198,28,12.55,1.77,7.63,14.47,30.38,24.13,1013.31,41.27
WaggaWagga,Wagga Wagga,Wagga Wagga,New South Wales,-35.12,147.37,56442.0,54411.0,Matched,3009,1.71,5088.8,823,158,27.35,5.25,18.01,9.62,23.03,42.59,1015.86,36.65
Walpole,Walpole,,,,,,,Needs review,3006,2.91,8194.4,1448,281,48.17,9.35,33.66,11.81,20.46,66.32,1016.24,39.82
Watsonia,Melbourne,Melbourne,Victoria,-37.81,144.96,5078193.0,4529500.0,Matched,3009,1.86,5580.6,1357,148,45.1,4.92,24.61,10.13,20.9,54.71,1016.09,38.06
Williamtown,Newcastle,Newcastle,New South Wales,-32.92,151.75,322278.0,152984.0,Matched,3009,3.59,9168.1,990,260,32.9,8.64,27.42,12.78,24.0,53.94,1015.92,41.68
Witchcliffe,Witchcliffe,,,,,,,Needs review,3009,2.9,8548.0,1443,269,47.96,8.94,29.78,10.78,21.69,57.78,1016.73,40.09
Wollongong,Wollongong,Wollongong,New South Wales,-34.43,150.88,302739.0,289236.0,Matched,3040,3.59,10720.0,1054,290,34.67,9.54,23.9,14.94,21.47,65.13,1016.06,45.69
Woomera,Woomera,,,,,,,Needs review,3009,0.49,1466.8,388,41,12.89,1.36,6.76,13.36,26.6,28.4,1015.97,44.16
