Year,State,AvgRainfall,TotalRainfall,RainyDayRate,HeavyRainRate,RainTomorrowRate,Records
2011,Northern Territory,4.27,2859.2,28.36,10.3,22.09,670
2011,Queensland,4.58,6113.4,36.49,11.04,25.69,1340
2011,South Australia,1.95,1945.6,40.5,5.57,25.03,1005
2011,Tasmania,1.88,1258.2,44.33,6.27,25.71,670
2011,Victoria,2.29,5997.0,42.46,5.56,24.49,2680
2011,Western Australia,2.42,3150.6,33.36,8.21,24.52,1340
2011,,2.86,8453.0,42.36,7.9,27.21,3012
2012,Australian Capital Territory,2.25,1504.0,27.2,6.88,18.29,669
2012,New South Wales,2.77,10797.7,31.74,7.79,21.12,4020
2012,Northern Territory,2.54,1704.2,18.36,5.67,12.54,670
2012,Queensland,4.37,5853.0,32.46,9.78,21.75,1340
2012,South Australia,1.45,1437.1,41.69,3.88,23.61,1005
2012,Tasmania,1.54,1031.6,41.19,3.88,22.69,670
2012,Victoria,1.64,4263.2,42.09,4.4,24.74,2680
2012,Western Australia,1.9,2491.1,30.97,6.19,23.45,1340
2012,,2.51,7265.0,41.43,6.6,25.25,3015
2013,Australian Capital Territory,1.51,1015.4,25.52,4.01,15.35,674
2013,New South Wales,2.64,10366.7,27.47,6.48,18.13,4044
2013,Northern Territory,1.97,2525.0,17.19,5.6,12.39,1286
2013,Queensland,2.88,3878.8,33.68,7.64,23.09,1348
2013,South Australia,1.79,1751.8,43.32,4.65,27.99,1011
2013,Tasmania,2.17,1453.9,40.95,6.53,24.48,674
2013,Victoria,1.64,4786.3,40.77,4.1,23.51,3002
2013,Western Australia,2.37,3067.7,35.09,8.61,25.52,1348
2013,,2.58,7737.8,40.16,7.63,24.14,3028
2014,Australian Capital Territory,1.73,1251.4,27.67,6.03,17.59,730
2014,New South Wales,2.19,9128.2,31.71,6.23,20.55,4380
2014,Northern Territory,2.25,3179.3,17.95,6.03,14.51,1460
2014,Queensland,3.11,4493.2,33.77,6.64,20.82,1460
2014,South Australia,1.54,1665.0,36.44,3.84,21.74,1095
2014,Tasmania,1.47,1065.5,36.58,4.11,20.44,730
2014,Victoria,1.29,4127.8,35.13,3.38,19.55,3285
2014,Western Australia,1.78,2477.6,28.9,5.27,20.92,1460
2014,,2.1,6822.4,37.6,6.27,23.61,3285
2015,Australian Capital Territory,1.75,1266.4,25.75,5.62,17.1,730
2015,New South Wales,2.98,12455.9,34.84,7.97,23.63,4380
2015,Northern Territory,2.3,3338.8,16.23,5.89,11.83,1460
2015,Queensland,3.75,5392.8,36.23,7.88,24.2,1460
2015,South Australia,1.16,1262.5,39.36,2.74,20.94,1095
2015,Tasmania,1.43,1038.2,37.67,3.97,21.84,730
2015,Victoria,1.15,3366.6,32.57,2.34,19.4,3285
2015,Western Australia,1.59,2312.9,28.97,5.0,20.26,1460
2015,,2.1,6800.0,39.21,6.09,23.68,3285
2016,Australian Capital Territory,2.27,1651.0,33.74,6.69,23.42,732
2016,New South Wales,2.7,11596.1,31.51,7.24,20.78,4392
2016,Northern Territory,2.08,3019.8,21.93,5.87,16.3,1464
2016,Queensland,2.86,3949.8,31.35,6.08,21.92,1464
2016,South Australia,2.26,2470.6,44.99,6.83,28.82,1098
2016,Tasmania,2.33,1703.8,42.9,7.92,26.23,732
2016,Victoria,1.83,5771.2,42.29,5.31,26.14,3294
2016,Western Australia,2.09,3049.7,35.59,6.56,25.82,1464
2016,,2.65,8530.4,42.47,7.98,27.14,3294
2017,Australian Capital Territory,1.22,425.4,28.69,3.12,16.05,352
2017,New South Wales,3.22,6606.9,35.67,9.33,23.86,2111
2017,Northern Territory,4.47,3094.8,24.57,11.36,20.87,704
2017,Queensland,4.69,3243.2,40.77,12.22,27.35,704
2017,South Australia,1.32,685.5,30.87,3.79,17.99,528
2017,Tasmania,1.09,379.2,29.26,2.56,17.53,352
2017,Victoria,1.31,2072.2,33.08,3.66,16.17,1584
2017,Western Australia,1.66,1139.3,23.01,3.69,15.99,704
2017,,2.16,3351.7,38.57,6.5,23.52,1584
